"","X","beach.name","job","age.respondent","years.fisheries","no.days.per.month.lake","choice.fishing.area","catch.size.change","catch.change.trend","catch.change.amount","catch.change.type","catch.cause.size.change","comment.unedited","water.clarity.change","water.smell.change","fish.spp.change","fish.abundance.change","change.aquatic.plants","total.plant.abundance.change","earliest.algal.bloom","bloom.effect.waterqual","bloom.effect.business","bloom.effect.fish","cause.bloom","future.for.fishery"
"16",16,"Rare","Boat owner",35,20,30,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",1996,"poor water quality ","decrease in fish business or profit","disappearance of fish","change in water clarity","N"
"17",17,"Rare","Crew",42,23,8,"proximity","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2009,"poor water quality ","decrease in fish business or profit","reduces quantity","change in water clarity","N"
"18",18,"Rare","Boat owner",35,11,21,"proximity","Y","reduced","moderate","fluctuates","environment","","reduced","increased","increased","reduced","increased","increased",1992,"poor water quality ","decrease in fish business or profit","disappearance of fish","change in water clarity","N"
"19",19,"Rare","Crew",54,10,8,"proximity","Y","reduced","reduced","reduced","water hyacinth","","reduced","increased","reduced","reduced","increased","increased",2013,"poor water quality ","decrease in fish business or profit","results in fish mortalities","change in water clarity","N"
"20",20,"Rare","Boat owner",35,15,30,"proximity","Y","reduced","reduced","reduced","water quality ","","interested in learning more","increased","reduced","reduced","increased","increased",2006,"poor water quality ","decrease in fish business or profit","no effect","change in water quality","N"
"21",21,"Rare","Boat owner",35,15,30,"type of fish catch","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2006,"poor water quality ","decrease in fish business or profit","acts as food for fish","change in water quality","Y"
"22",22,"Rare","Crew",67,30,NA,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2012,"poor water quality ","decrease in fish business or profit","avoidance of bloom by fish","change in water clarity","Y"
"23",23,"Rare","Crew",27,10,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","water quality ","","reduced","increased","no change","reduced","increased","increased",2013,"poor water quality ","unimpacted","no effect","change in water clarity","Y"
"24",24,"Rare","Crew",41,10,8,"type of fish catch","Y","reduced","reduced","increased","mbita causeway","","interested in learning more","increased","reduced","reduced","increased","increased",2000,"odor change","decrease in catch or production","reduces quantity","change in water clarity","N"
"25",25,"Rare","Crew",65,20,14,"water quality","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",1997,"odor change","decrease in catch or production","reduces quantity","change in water clarity","N"
"26",26,"Rare","Crew",25,10,7,"fishing quality and fish availability","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",1994,"poor water quality ","decrease in catch or production","reduces quantity","change in water clarity","N"
"27",27,"Rare","Crew",24,10,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2013,"poor water quality ","unimpacted","reduces quantity","change in water clarity","Y"
"28",28,"Rare","Crew",32,8,12,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2012,"poor water quality ","decrease in catch or production","interferes with movement","change in water clarity","Y"
"29",29,"Rare","Crew",19,4,7,"fishing quality and fish availability","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2012,"poor water quality ","increase in price","interferes with movement","change in water clarity","Y"
"30",30,"Rare","Crew",18,5,30,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2012,"poor water quality ","decrease in catch or production","reduces quantity","change in water clarity","N"
"31",31,"Rare","Boat owner",35,20,30,"type of fish catch","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",1996,"poor water quality ","decrease in fish business or profit","interferes with breeding zones","change in water clarity","N"
"32",32,"Rare","Crew",20,3,8,"fishing quality and fish availability","Y","reduced","reduced","increased","odor in water","","reduced","increased","reduced","reduced","increased","increased",2014,"poor water quality ","unimpacted","acts as food for fish","change in water clarity","Y"
"33",33,"Rare","Crew",32,8,16,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",2012,"poor water quality ","decrease in catch or production","interferes with breeding zones","change in water clarity","Y"
"34",34,"Rare","Crew",18,4,10,"water quality","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",2011,"poor water quality ","decrease in catch or production","reduces quantity","industrial waste","N"
"35",35,"Rare","Crew",31,9,16,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",1994,"poor water quality ","decrease in catch or production","disappearance of fish","change in water clarity","Y"
"36",36,"Rare","Crew",24,5,14,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",2000,"poor water quality ","unimpacted","not sure","change in water clarity","Y"
"37",37,"Rare","Boat owner",63,4,20,"avoid fish breeding areas","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",1990,"poor water quality ","unimpacted","no effect","change in water clarity","uncertain"
"38",38,"Rare","Crew",40,15,10,"fishing quality and fish availability","Y","reduced","reduced","reduced","mbita causeway","","reduced","increased","increased","reduced","increased","increased",2001,"poor water quality ","unimpacted","no effect","uncertain","N"
"39",39,"Rare","Crew",25,5,7,"fishing quality and fish availability","N","","","","","","reduced","increased","reduced","reduced","increased","increased",1995,"poor water quality ","decrease in catch or production","interferes with breeding zones","industrial waste","N"
"40",40,"Rare","Crew",20,3,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",2014,"poor water quality ","decrease in catch or production","interferes with breeding zones","change in water clarity","N"
"41",41,"Rare","Crew",24,6,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2011,"poor water quality ","increase in business","positively impacts fish","change in water clarity","N"
"42",42,"Rare","Boat owner",28,5,15,"proximity","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",2000,"poor water quality ","decrease in fish business or profit","decreases quality of fish","change in water clarity","Y"
"43",43,"Rare","Crew",27,8,15,"proximity","Y","reduced","reduced","no change","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2009,"poor water quality ","decrease in catch or production","decreases quality of fish","change in water clarity","Y"
"44",44,"Rare","Crew",32,15,10,"proximity","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",2000,"poor water quality ","decrease in fish business or profit","reduces quantity","change in water clarity","N"
"45",45,"Rare","Boat owner",60,20,26,"proximity","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",2002,"contaminates water","decrease in fish business or profit","reduces quantity","natural causes","N"
"46",46,"Rare","Crew",24,10,15,"proximity","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",2011,"poor water quality ","decrease in fish business or profit","reduces quantity","manure","Y"
"47",47,"Rare","Crew",48,10,10,"proximity","Y","reduced","reduced","reduced","fish migration","","reduced","increased","reduced","reduced","increased","increased",2006,"poor water quality ","decrease in fish business or profit","reduces quantity","natural causes","Y"
"48",48,"Rare","Crew",29,5,16,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2005,"poor water quality ","decrease in fish business or profit","reduces quantity","manure","N"
"49",49,"Rare","Boat owner",52,20,16,"proximity","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2006,"color change","decrease in catch or production","reduces quantity","change in water clarity","uncertain"
"50",50,"Rare","Crew",74,50,20,"proximity","Y","reduced","reduced","reduced","odor in water","reduced water level","","increased","reduced","reduced","increased","increased",2006,"poor water quality ","decrease in catch or production","reduces quantity","manure","Y"
"51",1,"Asat","Crew",41,28,16,"proximity","Y","reduced","reduced","reduced","water hyacinth","","clean at middle; decreased at shore","reduced","increased","reduced","increased","increased",NA,"poor water quality ","increase in price","negatively impacts fish health","rain","N"
"52",2,"Asat","Crew",56,46,14,"water quality","Y","reduced","reduced","reduced","fish migration","","reduced","increased","no change","reduced","increased","increased",1968,"poor water quality ","unimpacted","results in fish mortalities","water hyacinth","Y"
"53",3,"Asat","Crew",29,15,15,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear; water hyacinth","","reduced","increased","no change","reduced","increased","increased",2000,"poor water quality ","decrease in catch or production","results in eye disease in fish","change in water clarity","Y"
"54",4,"Asat","Crew",45,30,25,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear; water hyacinth","","reduced","increased","no change","reduced","increased","increased",2006,"poor water quality ","decrease in catch or production","results in eye disease in fish","change in water clarity","N"
"55",5,"Asat","Crew",28,13,12,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","at times","reduced","reduced","variable","increased",NA,"odor change","decrease in catch or production","disappearance of fish","change in water clarity","N"
"56",6,"Asat","Boat owner",40,10,15,"less competition","Y","reduced","reduced","reduced","illegal or unregulated fishing gear; water hyacinth","","reduced","reduced","reduced","reduced","increased","increased",2002,"poor water quality ","decrease in fish business or profit","suffocates fish","rain","N"
"57",7,"Asat","Boat owner",30,10,16,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear; water hyacinth","","reduced","reduced","reduced","reduced","increased","increased",1998,"poor water quality ","decrease in fish business or profit","results in eye disease in fish","change in water clarity","N"
"58",8,"Asat","Crew",42,15,12,"proximity","Y","reduced","reduced","reduced","reduction in water level","","reduced","increased","reduced","reduced","increased","increased",2014,"poor water quality ","decrease in catch or production","negatively impacts fish health","change in water clarity","N"
"59",9,"Asat","Boat owner",60,36,26,"proximity","Y","reduced","reduced","reduced","water quality ","Mbita","reduced","increased","reduced","reduced","increased","increased",1996,"contaminates water; linked to health","increase in business","negatively impacts fish health","change in water clarity","N"
"60",10,"Asat","Crew",39,18,8,"proximity","Y","reduced","reduced","reduced","odor in water","water hyacinth","reduced","increased","increased","reduced","increased","increased",1992,"poor water quality ","decrease in catch or production","reduces quantity","rain","N"
"61",11,"Asat","Crew",21,1,7,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",2012,"poor water quality ","decrease in catch or production","migration of fish","water hyacinth","Y"
"62",12,"Asat","Crew",32,15,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",2000,"contaminates water","decrease in fish business or profit","acts as food for fish","water hyacinth","N"
"63",13,"Asat","Crew",24,6,8,"fishing quality and fish availability","Y","reduced","reduced","no change","water hyacinth","","depends on current","increased","reduced","no change","increased","increased",2002,"poor water quality ","unimpacted","acts as food for fish","water hyacinth","N"
"64",14,"Asat","Crew",30,8,15,"water quality","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","no change","reduced","increased","increased",1998,"poor water quality ","decrease in catch or production","suffocates fish","change in water clarity","N"
"65",15,"Asat","Crew",35,5,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","water hyacinth","","reduced","increased","no change","reduced","increased","increased",NA,"poor water quality ","decrease in catch or production","results in fish mortalities","current","Y"
"66",16,"Asat","Crew",24,2,15,"water quality","Y","reduced","reduced","increased","illegal or unregulated fishing gear; water hyacinth","","reduced","increased","increased","reduced","increased","increased",2015,"poor water quality ","decrease in catch or production","suffocates fish; interferes with movement","change in water clarity","N"
"67",17,"Asat","Crew",26,4,3,"fishing quality and fish availability","Y","reduced","reduced","reduced","water quality ","water hyacinth","no change","increased","no change","reduced","increased","increased",2014,"affects water temperature","decrease in catch or production","suffocates fish; results in increased mortalities","change in water clarity","N"
"68",18,"Asat","Boat owner",32,15,25,"fishing quality and fish availability","Y","reduced","reduced","reduced","water quality ","water hyacinth","reduced","increased","no change","reduced","increased","increased",1998,"poor water quality ","decrease in catch or production","Acts as food for fish","change in water clarity","N"
"69",19,"Asat","Crew",18,3,10,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear; water hyacinth","","reduced","increased","no change","reduced","increased","increased",2014,"contaminates water; linked to health","decrease in catch or production","suffocates fish","change in water clarity","N"
"70",20,"Asat","Crew",17,1,7,"proximity","Y","reduced","reduced","no change","illegal or unregulated fishing gear; water hyacinth","","reduced","increased","no change","reduced","increased","increased",2010,"poor water quality ","decrease in catch or production","results in fish mortalities","change in water clarity","N"
"71",21,"Asat","Crew",36,20,15,"proximity","Y","reduced","reduced","increased","illegal or unregulated fishing gear; water hyacinth","","reduced","increased","reduced","reduced","increased","increased",2000,"poor water quality ","increase in business","acts as food for fish","water hyacinth","N"
"72",22,"Asat","Crew",21,2,21,"proximity","Y","reduced","reduced","increased","illegal or unregulated fishing gear; water hyacinth","","reduced","increased","increased","reduced","increased","increased",2015,"poor water quality ","decrease in fish business or profit","reduces quality","water hyacinth","Y"
"73",23,"Asat","Crew",19,3,4,"proximity","Y","reduced","reduced","increased","odor in water","","reduced","increased","increased","reduced","increased","increased",1997,"poor water quality ","decrease in catch or production","results in fish mortalities","change in water clarity","Y"
"74",24,"Asat","Crew",21,5,4,"proximity","Y","reduced","reduced","reduced","odor in water","destruction of breeding ground","reduced","increased","reduced","reduced","increased","increased",2008,"poor water quality ","unimpacted","no effect","water hyacinth","Y"
"75",25,"Asat","Crew",29,15,15,"proximity","Y","reduced","reduced","increased","overfishing or increase in fisher population","","reduced","increased","increased","reduced","increased","increased",2009,"poor water quality ","increase in fish quantity","attracts fish","change in water clarity","Y"
"76",26,"Asat","Crew",22,8,14,"proximity","Y","reduced","reduced","no change","odor in water","","reduced","increased","no change","reduced","increased","increased",2000,"poor water quality ","decrease in catch or production","suffocates fish","change in water clarity","Y"
"77",27,"Asat","Crew",40,20,15,"proximity","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",1989,"poor water quality ","decrease in catch or production","disappearance of fish","change in water clarity","N"
"78",28,"Asat","Crew",34,15,10,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear; water hyacinth","","reduced","increased","increased","reduced","increased","increased",1998,"odor change","decrease in catch or production","suffocates fish","change in water clarity","N"
"79",29,"Asat","Crew",40,15,15,"water quality","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","no change","reduced","increased","increased",2002,"odor change","decrease in catch or production","suffocates fish","change in water clarity","N"
"80",30,"Asat","Crew",28,10,15,"fishing quality and fish availability","Y","reduced","reduced","increased","water quality ","","reduced","increased","reduced","reduced","increased","increased",2002,"poor water quality ","decrease in catch or production","suffocates fish","change in water clarity","N"
"81",31,"Asat","Crew",30,10,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",1990,"poor water quality ","decrease in catch or production","disappearance of fish","change in water clarity","N"
"82",32,"Asat","Crew",62,25,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","seasonal","","reduced","increased","reduced","reduced","increased","increased",2015,"poor water quality ","decrease in catch or production","increased quantity","water hyacinth","Y"
"83",33,"Asat","Crew",56,40,13,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",2002,"poor water quality ","decrease in catch or production","reduces quantity","change in water clarity","N"
"84",34,"Asat","Crew",60,45,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",1986,"poor water quality ","decrease in catch or production","interferes with breeding zones","change in water clarity","N"
"85",35,"Asat","Boat repair",68,51,3,"proximity","Y","reduced","reduced","reduced","odor in water","","reduced","increased","reduced","reduced","increased","increased",1988,"poor water quality ","decrease in price ","acts as food for fish","change in water clarity","N"
"86",36,"Asat","Crew",30,7,8,"proximity","Y","reduced","reduced","reduced","water quality ","","increased","reduced","increased","reduced","increased","increased",2009,"poor water quality ","decrease in catch or production","increased quantity","manure","Y"
"87",37,"Asat","Crew",32,10,10,"proximity","Y","reduced","reduced","increased","illegal or unregulated fishing gear; water hyacinth","","increased","reduced","increased","reduced","increased","increased",2014,"poor water quality ","decrease in catch or production","decreases survival","change in water clarity","N"
"88",38,"Asat","Crew",17,4,8,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear; water hyacinth","","increased","increased","no change","reduced","increased","increased",2010,"poor water quality ","increase in fish quantity","reduces quantity","change in water clarity","Y"
"89",39,"Asat","Crew",16,2,12,"proximity","Y","reduced","reduced","reduced","odor in water","","increased","increased","increased","reduced","increased","increased",NA,"poor water quality ","increase in fish quantity","positively impacts fish","natural causes","Y"
"90",40,"Asat","Boat owner",42,25,30,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","increased","reduced","reduced","reduced","increased","increased",2006,"poor water quality ","decrease in catch or production","decreases survival","change in water clarity","Y"
"91",41,"Asat","Crew",17,1,20,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","increased","reduced","increased","reduced","reduced","increased",2007,"poor water quality ","decrease in catch or production","disappearance of fish","natural causes","Y"
"92",1,"Chwoe","Crew",35,10,26,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",2006,"contaminates water","decrease in fish business or profit","suffocates fish","change in water quality","N"
"93",2,"Chwoe","Boat owner",22,8,21,"proximity","Y","no change","increased","reduced","water hyacinth; blooms","","reduced","increased","reduced","reduced","increased","increased",2012,"contaminates water","decrease in fish business or profit","reduces quantity","water hyacinth","N"
"94",3,"Chwoe","Crew",22,4,21,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2002,"contaminates water","decrease in fish business or profit","disappearance of fish","change in water quality","N"
"95",4,"Chwoe","Boat owner",22,5,26,"fishing quality and fish availability","Y","reduced","reduced","increased","water hyacinth","","reduced","increased","increased","reduced","increased","increased",2014,"contaminates water","decrease in fish business or profit","disappearance of fish","change in water quality","N"
"96",5,"Chwoe","Boat owner",21,6,14,"fishing quality and fish availability","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2000,"contaminates water","decrease in fish business or profit","disappearance of fish","change in water quality","N"
"97",6,"Chwoe","Crew",19,4,14,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2012,"contaminates water","unimpacted","no effect","change in water quality","N"
"98",7,"Chwoe","Boat owner",27,16,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2002,"contaminates water","unimpacted","no effect","water temperature","Y"
"99",8,"Chwoe","Crew",23,6,8,"fishing quality and fish availability","Y","reduced","reduced","reduced","water hyacinth","","reduced","increased","reduced","reduced","increased","increased",2012,"contaminates water","decrease in fish business or profit","disappearance of fish","change in water quality","Y"
"100",9,"Chwoe","Boat owner",50,27,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1994,"contaminates water","decrease in fish business or profit","interferes with breeding zones","change in water quality","N"
"101",10,"Chwoe","Crew",26,4,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","water hyacinth","","reduced","increased","reduced","reduced","increased","increased",2010,"color change","unimpacted","no effect","current","Y"
"102",11,"Chwoe","Crew",25,4,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",NA,"poor water quality ","decrease in fish business or profit","reduces quantity","change in water quality","N"
"103",12,"Chwoe","Crew",42,20,15,"fishing quality and fish availability","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2001,"contaminates water","decrease in fish business or profit","not sure","change in water quality","N"
"104",13,"Chwoe","Crew",21,6,2,"fishing quality and fish availability","Y","reduced","reduced","reduced","water quality ","","reduced","increased","increased","reduced","increased","increased",2010,"contaminates water","decrease in fish business or profit","no effect","change in water quality","N"
"105",14,"Chwoe","Crew",31,11,8,"fishing quality and fish availability","Y","reduced","reduced","increased","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2003,"contaminates water","decrease in fish business or profit","interferes with movement","change in water quality","Y"
"106",15,"Chwoe","Crew",29,18,18,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2000,"contaminates water","decrease in catch or production","disappearance of fish","change in water quality","N"
"107",16,"Chwoe","Crew",29,5,25,"fishing quality and fish availability","Y","reduced","reduced","increased","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2011,"contaminates water","decrease in catch or production","suffocates fish","change in water quality","Y"
"108",17,"Chwoe","Boat owner",27,10,26,"fishing quality and fish availability","Y","reduced","reduced","no change","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2006,"contaminates water","decrease in catch or production","suffocates fish","change in water quality","N"
"109",18,"Chwoe","Crew",43,18,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","no change","reduced","increased","increased",2012,"contaminates water","decrease in catch or production","acts as food for fish","change in water quality","N"
"110",19,"Chwoe","Crew",22,7,20,"fishing quality and fish availability","Y","reduced","reduced","increased","illegal or unregulated fishing gear","","reduced","increased","increased","reduced","increased","increased",2008,"poor water quality ","decrease in fish business or profit","suffocates fish","water hyacinth","N"
"111",20,"Chwoe","Boat owner",54,45,21,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1967,"poor water quality ","decrease in fish business or profit","acts as food for fish","current","N"
"112",21,"Chwoe","Crew",29,15,20,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2011,"poor water quality ","increase in fish business (price) due to high demand (shortage)","interferes with movement","waste or pollution","N"
"113",22,"Chwoe","Boat owner",50,30,26,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","reduced","reduced","reduced","increased","increased",NA,"contaminates water","decrease in fish business or profit","results in fish mortalities","drought","N"
"114",23,"Chwoe","Crew",32,12,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1998,"contaminates water","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"115",24,"Chwoe","Crew",36,7,26,"proximity","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",1998,"color change","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"116",25,"Chwoe","Crew",32,10,20,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2011,"poor water quality ","decrease in fish business or profit","suffocates fish","water hyacinth","N"
"117",26,"Chwoe","Crew",35,10,20,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2001,"poor water quality ","decrease in fish business or profit","results in fish mortalities","industrial waste","N"
"118",27,"Chwoe","Crew",28,10,24,"water quality","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2006,"poor water quality ","decrease in fish business or profit","negatively impacts fish health","industrial waste","N"
"119",28,"Chwoe","Crew",43,16,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",1999,"contaminates water","decrease in catch or production","acts as food for fish","change in water quality; change in water clarity","N"
"120",29,"Chwoe","Crew",21,6,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2004,"contaminates water","decrease in catch or production","acts as food for fish","change in water quality","N"
